self_connect,pct,n,auc_mean,auc_std,sens_mean,sens_std,spec_mean,spec_std
0,10,2,0.7417441045650364,0.013349042836641345,0.57125227713463,0.03866721513780341,0.7728823241487283,0.05552291094579431
0,20,2,0.7537288400832409,0.018432332077931213,0.6616398307574778,0.020031439149086228,0.7422336715213241,0.008753495309870352
0,30,2,0.7128519908115731,0.04466924137498224,0.6747174394233217,0.026052378993555447,0.7008979596290114,0.07271156573389848
0,40,2,0.7437886096806967,0.03758438613485615,0.6772982700995336,0.05125059683402505,0.641026124010627,0.0689726610701652
0,50,2,0.778168429761695,0.004758207429345296,0.7071205683761437,0.00018804835193247937,0.66010444156084,0.023501477442275265
0,60,2,0.7506386026900458,0.034538035956182433,0.4604315313682953,0.22640460718011002,0.7831326800948017,0.09242032662320576
0,70,2,0.7144488668472997,0.019594644521826354,0.680913044208264,0.02730905488675095,0.6588745978112195,0.0330075761619516
0,80,2,0.7382480600285894,0.03617244116703722,0.7157160171888199,0.0035552943769052714,0.6415070288942057,0.00018043686338836684
0,90,2,0.7443946454700365,0.03223334283678386,0.6578725710405349,0.0034573495612202354,0.783692176354454,0.059971846950287955
0,100,2,0.785003436214795,0.0054398473917355306,0.6216103450403571,0.020893996244898405,0.8723134005995004,0.002171497834590863
